age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
61, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,63, South, <=50K
23, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, Black, Male,0,0,37, United-States, <=50K
47, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,75, United-States, >50K
42, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, United-States, >50K
40, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, United-States, >50K
38, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,1977,99, United-States, >50K
39, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,1887,46, United-States, >50K
69, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,33, United-States, <=50K
35, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,62, United-States, <=50K
30, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
28, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,51, Cuba, <=50K
58, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, United-States, >50K
50, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, <=50K
52, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,8, United-States, <=50K
52, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,14, United-States, <=50K
23, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, <=50K
44, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,68, United-States, <=50K
71, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,2467,52, United-States, <=50K
41, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,62, United-States, <=50K
45, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,15024,0,80, United-States, >50K
39, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,26, ?, <=50K
64, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,5, United-States, <=50K
65, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,18, United-States, <=50K
25, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, <=50K
62, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,90, United-States, >50K
40, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
43, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, >50K
61, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,53, United-States, <=50K
63, Self-emp-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,68, United-States, >50K
31, Private, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,76, United-States, >50K
54, Private, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,68, United-States, >50K
49, State-gov, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,99999,0,80, United-States, >50K
42, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,99999,0,80, United-States, >50K
41, Self-emp-inc, Assoc-voc,11, Married-civ-spouse, Sales, Husband, Other, Male,0,2179,84, Mexico, <=50K
42, Private, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,37, United-States, <=50K
25, Private, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,41, United-States, <=50K
56, Self-emp-inc, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
69, Self-emp-not-inc, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,8, United-States, <=50K
37, Private, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
49, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,26, United-States, >50K
46, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, <=50K
31, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, Black, Male,0,0,90, United-States, >50K
51, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,47, United-States, >50K
49, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
45, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
37, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,3137,0,77, Vietnam, <=50K
35, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
30, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
35, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
72, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,1455,0,6, United-States, <=50K
46, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,99999,0,72, United-States, >50K
59, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, United-States, <=50K
29, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,41, United-States, <=50K
60, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,46, United-States, >50K
66, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,5556,0,26, United-States, >50K
59, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,37, United-States, >50K
33, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7298,0,80, United-States, >50K
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
66, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,5, United-States, >50K
26, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, >50K
50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,8, United-States, <=50K
32, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,47, United-States, <=50K
53, Private, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, >50K
40, Private, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, <=50K
37, Self-emp-inc, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,68, United-States, <=50K
39, Private, Prof-school,15, Married-civ-spouse, Sales, Husband, White, Male,0,2415,99, United-States, >50K
55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States, <=50K
49, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, >50K
33, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, <=50K
54, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
43, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, United-States, >50K
39, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,26, ?, <=50K
32, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1740,47, United-States, <=50K
47, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, <=50K
41, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,51, United-States, <=50K
25, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, United-States, <=50K
73, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,6, United-States, >50K
48, Private, Some-college,10, Married-civ-spouse, Sales, Husband, Black, Male,0,0,8, United-States, <=50K
77, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,8, United-States, <=50K
22, Federal-gov, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1902,37, United-States, <=50K
35, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, United-States, >50K
36, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,92, United-States, <=50K
31, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,2051,57, United-States, <=50K
66, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,28, United-States, <=50K
25, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,2885,0,43, United-States, <=50K
45, Private, Some-college,10, Married-civ-spouse, Sales, Husband, Black, Male,15024,0,99, United-States, >50K
44, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,80, Philippines, >50K
35, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,46, United-States, <=50K
26, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,18, United-States, <=50K
52, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,90, United-States, >50K
41, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,91, United-States, <=50K
43, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, United-States, >50K
17, Private, 9th,5, Never-married, Sales, Own-child, Black, Male,0,0,22, United-States, <=50K
17, Private, 10th,6, Never-married, Sales, Own-child, White, Male,0,0,5, United-States, <=50K
17, Private, 10th,6, Never-married, Sales, Own-child, White, Female,0,0,5, United-States, <=50K
17, Private, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,28, United-States, <=50K
18, Private, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,13, United-States, <=50K
18, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,8, Mexico, <=50K
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
18, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,49, United-States, <=50K
18, Private, 11th,7, Never-married, Sales, Own-child, Black, Female,0,0,8, United-States, <=50K
19, Private, 11th,7, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,19, Philippines, <=50K
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,18, United-States, <=50K
18, Private, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,18, United-States, <=50K
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,13, United-States, <=50K
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,9, United-States, <=50K
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,1055,0,18, India, <=50K
17, Private, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,5, United-States, <=50K
17, Private, 12th,8, Never-married, Sales, Own-child, White, Female,0,0,18, United-States, <=50K
17, Private, 12th,8, Never-married, Sales, Own-child, White, Female,0,0,23, United-States, <=50K
19, Private, 12th,8, Never-married, Sales, Own-child, White, Female,0,0,18, United-States, <=50K
17, Private, 12th,8, Never-married, Sales, Own-child, White, Female,0,0,6, United-States, <=50K
18, Private, 12th,8, Never-married, Sales, Own-child, White, Male,594,0,14, United-States, <=50K
18, Private, 12th,8, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
17, Private, 7th-8th,4, Never-married, Sales, Own-child, White, Male,0,0,8, United-States, <=50K
19, Private, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,3, United-States, <=50K
18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,28, United-States, <=50K
25, Private, HS-grad,9, Married-civ-spouse, Sales, Own-child, White, Male,0,0,26, United-States, >50K
20, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,8, Mexico, <=50K
18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,22, United-States, <=50K
45, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,19, United-States, <=50K
22, Private, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,33, United-States, <=50K
20, Private, HS-grad,9, Separated, Sales, Own-child, White, Female,0,0,26, United-States, <=50K
18, Private, HS-grad,9, Never-married, Sales, Own-child, Black, Female,0,0,18, United-States, <=50K
20, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,23, United-States, <=50K
32, Self-emp-not-inc, HS-grad,9, Divorced, Sales, Own-child, White, Male,0,1590,62, United-States, <=50K
19, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,33, United-States, <=50K
26, Private, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,18, United-States, <=50K
27, Private, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,2, United-States, <=50K
40, Private, Bachelors,13, Divorced, Sales, Own-child, White, Male,0,0,80, United-States, <=50K
30, Private, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,18, United-States, <=50K
24, Private, Assoc-acdm,12, Never-married, Sales, Own-child, White, Female,0,0,37, United-States, <=50K
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,18, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,8, India, <=50K
28, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,63, South, <=50K
20, Private, Some-college,10, Married-spouse-absent, Sales, Own-child, Black, Female,0,0,18, United-States, <=50K
29, Private, Some-college,10, Married-spouse-absent, Sales, Own-child, Asian-Pac-Islander, Female,0,0,26, India, <=50K
24, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,43, United-States, <=50K
23, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,28, United-States, <=50K
19, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,9, United-States, <=50K
18, Private, Some-college,10, Never-married, Sales, Own-child, Black, Female,0,0,21, United-States, <=50K
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,43, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,28, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
23, Private, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,9, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,13, United-States, <=50K
18, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,28, United-States, <=50K
22, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,34, United-States, <=50K
22, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,8, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, Black, Female,0,0,14, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,6, United-States, <=50K
19, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,22, United-States, <=50K
19, Private, Some-college,10, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,18, Philippines, <=50K
24, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,17, United-States, <=50K
29, Private, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,80, United-States, <=50K
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,47, United-States, <=50K
22, Private, Some-college,10, Married-spouse-absent, Sales, Own-child, Other, Female,0,0,22, Dominican-Republic, <=50K
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,1602,22, United-States, <=50K
27, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,22, United-States, <=50K
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,1762,28, United-States, <=50K
71, Private, 9th,5, Widowed, Sales, Unmarried, White, Female,0,0,13, United-States, <=50K
54, Private, 10th,6, Separated, Sales, Unmarried, White, Female,0,0,43, Italy, <=50K
33, Private, 11th,7, Never-married, Sales, Unmarried, Black, Female,0,0,17, United-States, <=50K
27, Private, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,37, United-States, <=50K
30, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Unmarried, White, Male,0,0,66, United-States, <=50K
31, Private, HS-grad,9, Never-married, Sales, Unmarried, Black, Female,0,0,58, United-States, <=50K
48, Self-emp-inc, HS-grad,9, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,84, ?, <=50K
57, Private, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,28, United-States, <=50K
36, Private, HS-grad,9, Separated, Sales, Unmarried, Black, Female,0,0,17, United-States, <=50K
51, Private, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,43, United-States, <=50K
39, Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, Black, Female,0,0,28, Jamaica, <=50K
30, Private, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,54, United-States, <=50K
26, Private, HS-grad,9, Separated, Sales, Unmarried, Black, Female,0,0,37, United-States, <=50K
25, Private, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,37, United-States, <=50K
41, Self-emp-not-inc, Masters,14, Divorced, Sales, Unmarried, White, Male,0,0,5, United-States, >50K
26, Private, Assoc-voc,11, Never-married, Sales, Unmarried, White, Female,0,0,54, United-States, <=50K
37, Private, Assoc-voc,11, Never-married, Sales, Unmarried, Black, Female,0,0,6, United-States, <=50K
24, Private, Assoc-voc,11, Never-married, Sales, Unmarried, White, Male,0,0,5, United-States, <=50K
71, Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States, <=50K
29, Private, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,54, United-States, <=50K
42, Private, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,43, United-States, <=50K
44, Private, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,1408,46, United-States, <=50K
90, Private, Some-college,10, Divorced, Sales, Unmarried, Black, Female,0,0,37, United-States, <=50K
22, Private, Some-college,10, Separated, Sales, Unmarried, White, Female,0,0,43, United-States, <=50K
60, Private, Some-college,10, Widowed, Sales, Unmarried, White, Female,0,0,27, United-States, <=50K
39, Self-emp-not-inc, Some-college,10, Divorced, Sales, Unmarried, White, Male,0,0,47, United-States, <=50K
62, Private, Some-college,10, Separated, Sales, Unmarried, White, Female,0,1617,33, United-States, <=50K
31, Private, 9th,5, Never-married, Sales, Not-in-family, White, Male,0,0,43, United-States, >50K
24, Private, 10th,6, Never-married, Sales, Not-in-family, White, Male,0,0,49, El-Salvador, <=50K
32, Private, 11th,7, Divorced, Sales, Not-in-family, White, Male,0,0,43, United-States, >50K
58, Self-emp-not-inc, 12th,8, Divorced, Sales, Not-in-family, White, Female,0,0,52, United-States, <=50K
63, Self-emp-not-inc, 5th-6th,3, Never-married, Sales, Not-in-family, White, Female,0,0,3, United-States, <=50K
68, Private, 5th-6th,3, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,22, United-States, <=50K
33, Private, 7th-8th,4, Never-married, Sales, Not-in-family, White, Male,0,0,43, Mexico, <=50K
38, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
53, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,37, Mexico, <=50K
58, Self-emp-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,47, United-States, <=50K
39, Private, HS-grad,9, Separated, Sales, Not-in-family, White, Female,0,0,47, United-States, <=50K
60, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,33, United-States, <=50K
21, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,33, United-States, <=50K
53, Private, HS-grad,9, Separated, Sales, Not-in-family, White, Female,0,0,33, United-States, <=50K
50, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,2444,72, United-States, >50K
57, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,26, United-States, <=50K
40, Self-emp-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,51, United-States, <=50K
29, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,34, United-States, <=50K
55, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,37, United-States, <=50K
25, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,1504,37, United-States, <=50K
67, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,991,0,18, United-States, <=50K
47, Private, HS-grad,9, Separated, Sales, Not-in-family, White, Female,0,0,52, United-States, <=50K
50, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,33, United-States, <=50K
62, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,43, United-States, <=50K
20, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,84, United-States, <=50K
42, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,47, United-States, <=50K
48, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,52, United-States, <=50K
38, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,33, United-States, <=50K
22, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,37, United-States, <=50K
54, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,37, United-States, <=50K
58, Self-emp-not-inc, Masters,14, Divorced, Sales, Not-in-family, White, Male,0,0,18, United-States, <=50K
47, Private, Masters,14, Divorced, Sales, Not-in-family, White, Female,0,0,6, United-States, <=50K
65, Private, Masters,14, Divorced, Sales, Not-in-family, White, Male,0,0,28, United-States, <=50K
28, Private, Masters,14, Married-spouse-absent, Sales, Not-in-family, White, Female,0,0,80, United-States, >50K
58, Private, Masters,14, Widowed, Sales, Not-in-family, White, Female,0,0,27, United-States, <=50K
58, Self-emp-inc, Assoc-voc,11, Divorced, Sales, Not-in-family, White, Male,2202,0,56, United-States, <=50K
63, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,27, United-States, <=50K
64, Private, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,0,0,5, United-States, <=50K
23, Self-emp-inc, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,0,0,43, United-States, <=50K
53, Private, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,13550,0,43, United-States, >50K
45, Private, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,0,0,46, United-States, <=50K
51, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,1564,43, United-States, >50K
41, Private, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,0,1980,56, United-States, <=50K
34, Self-emp-not-inc, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,62, United-States, <=50K
27, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,80, United-States, >50K
24, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,47, United-States, <=50K
40, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,53, United-States, <=50K
27, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,13550,0,46, United-States, >50K
25, Self-emp-inc, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
50, Self-emp-not-inc, Doctorate,16, Divorced, Sales, Not-in-family, White, Male,0,0,64, United-States, <=50K
32, Self-emp-not-inc, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
30, Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Male,0,0,52, United-States, <=50K
36, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,10520,0,43, United-States, >50K
